Program,URL,Type,Organization Type,Target,Cost,Detailed Location,Location,Underrepresented,Gender,Race/Ethnicity,Community,Objective,Level,Cost,Pre-recs,Duration
Engineering for Kids: Vex Robotics,https://www.engineeringforkids.com/denver/programs/camps/,Summer Camp,Private,"Elementary, Middle",479.0,CO,CO,,,,,"Our campers will be working on 2 different topics in AM and in PM. And we offer a huge variety of such pairings thus offering something to each child. Our goal is the exposure to variety of STEM topics in a very fun, engaging environment and inspiring the love for STEM",Ages 9-12,479.0,,5 days
Engineering for Kids: Mobile App Coding,https://www.engineeringforkids.com/denver/programs/camps/,Summer Camp,Private,"Elementary, Middle",479.0,Colorado,CO,,,,,"Our campers will be working on 2 different topics in AM and in PM. And we offer a huge variety of such pairings thus offering something to each child. Our goal is the exposure to variety of STEM topics in a very fun, engaging environment and inspiring the love for STEM",Ages 9-12,479.0,,5 days
Young Bot Builders: Robotics,https://youngbotbuilders.com/camps/wedo-1-0-robotics/,Summer Camp,Private,Elementary,140.0,Colorado Springs,CO,,,,,"Our campers will be working on 2 different topics in AM and in PM. And we offer a huge variety of such pairings thus offering something to each child. Our goal is the exposure to variety of STEM topics in a very fun, engaging environment and inspiring the love for STEM",Ages 6.5-9,140.0,,4 days
Colorado Code Club,https://coloradocodeclub.com/camps.php,Summer Camp,Private,"Elementary, Middle",275.0,Highlands Ranch,CO,,,,,Providing Coding Education and Gaming Opportunities for Kids in Highlands Ranch Colorado,Grades 2-6,275.0,,5 Days
CU Science Discovery: Applied Programming with Micro:bit,https://www.colorado.edu/sciencediscovery/applied-programming-microbit-grades-9-12,Summer Camp,University,"Elementary, Middle, High",360.0,University of Colorado Boulder,CO,,,,,"This class will kick-off with an introduction to coding using the Python language. Python is a powerful and fast open-source programming language with numerous applications. We'll learn some basic principles of programming and then use the skills we've developed to program our Micro:Bit. Learn how to collect, study, and analyze data in the natural world using various tools and technologies within your own backyard or neighborhood! Using a Micro:Bit that we've coded, we'll build a soil moisture monitor to track water levels in soil and build an automatic plant waterer or any number of other projects. Let your imagination be your only limitation. This class gives students real-life experience developing tools to gather and analyze data and offers a glimpse into the world of a field scientist - a perfect meld of technology and natural science exploration!",Grades 9-12,360.0,,5 days
CU Science Discovery: Arduino: An Introduction,https://www.colorado.edu/sciencediscovery/arduino-introduction-grades-9-12,Summer Camp,University,"Elementary, Middle, High",360.0,University of Colorado Boulder,CO,,,,,"This hands-on class is an introduction to physical computing using the popular Arduino microcontroller platform. Learn how to put together simple electronic circuits and write programs (Arduino ""sketches"") to create projects that light up, move and make sound. We’ll be using the Seeed Studio Grove Beginner Kit for Arduino which is very easy to use while also being expandable and flexible for future projects. No experience necessary.",Grades 9-12,360.0,,5 days
CU Science Discovery: Virtual Code with JavaScript,https://www.colorado.edu/sciencediscovery/virtual-code-javascript-grades-6-8,Summer Camp,University,"Middle, High",199.0,University of Colorado Boulder,CO,,,,,"Why should we learn JavaScript? When was the last time that you actually called a company to find information about their hours or to see if they have a product in stock? Everyone uses a website, and every website uses JavaScript. What nobody tells us is that using JavaScript is really fun and amazingly simple. We'll build an online portfolio website, look inside of the programming that is Google, and use JavaScript to summon an army to beat our friends’ armies. The skills we develop in this camp will carry us into the digital future, and beyond!",Grades 6-8,199.0,,5 days
CU Science Discovery: Virtual Game Design and Science Simulations,https://www.colorado.edu/sciencediscovery/virtual-game-design-and-science-simulations-grades-6-8,Summer Camp,University,"Middle, High",199.0,University of Colorado Boulder,CO,,,,,"Would you like to make a 3D video game like Pacman in 3D? Or do you want to save the world from a pandemic? What happens when an ecosystem population gets out of control? What factors most affect how far a wildfire will spread? Using Agent Cubes Online, students will start with creating a simple game with 3D objects and gradually increase in complexity to include multiple worlds and artificial intelligence. We will see how the techniques used in designing a game like Pacman or Space Invaders can be used to address real-life scenarios and model current unsolved problems.",Grades 6-8,199.0,,5 days
CU Science Discovery: Virtual Kids Coding (on pause),https://www.colorado.edu/sciencediscovery/virtual-kids-coding-grades-2-4,Summer Camp,University,"Middle, High",169.0,University of Colorado Boulder,CO,,,,,"Python is a powerful and fast open-source programming language with numerous applications in science and industry. We'll use Python to learn the fundamentals of programming, and will then apply those skills to build our own games. Please note: This camp requires knowledge of basic concepts of mathematics such as addition, multiplication, angles, length, width and measurement.",Grades 2-4,169.0,Knowledge of,5 days
CU Science Discovery: Virtual Kids Coding,https://www.colorado.edu/sciencediscovery/virtual-programming-python-grades-6-8,Summer Camp,University,"Middle, High",169.0,University of Colorado Boulder,CO,,,,,"Python is a powerful and fast open-source programming language with numerous applications in science and industry. We'll use Python to learn the fundamentals of programming, and will then apply those skills to build our own games. Please note: This camp requires knowledge of basic concepts of mathematics such as addition, multiplication, angles, length, width and measurement.",Grades 6-8,169.0,,5 days
Emagination Computer Camps: Connecticut,https://www.emaginationtechcamps.com/connecticut-computer-tech-camp,Summer Camp,Private,"Elementary, Middle, High",$895-$3095,*Fairfield University,CT,,,,,We offer a huge selection of technology courses that are taught using professionally developed curriculums delivered person-to-person by qualified instructors. Learn More Emagination's 3D Printing Course Emagination's 3D Printing Course,Age 8-17,$895-$3095,,1-2 weeks
Introduction to Data Science Academy,https://summer.georgetown.edu/programs/SHS02/introduction-to-data-science-academy,Summer Camp,University,High,1895.0,*Georgetown University,DC,,,,,"The Introduction to Data Science Academy offers an inside look at the professional world of data science through the eyes of experts in the field. Through a combination of coding exercises, presentations from data science experts, and class discussions, you’ll be introduced to contemporary data science resources and best practices. You’ll have the opportunity to explore the processes of data collection and analysis, gain hands-on practice with statistical analysis and coding languages, and learn about the main elements of programming in Python. By the end of the program, you’ll understand key concepts like how to wrangle data, how to visualize data, how to present your conclusions, and how to arrive at those conclusions.",High School,1895.0,,1 Week
Booleangirl,https://booleangirl.org/camps/,Summer Camp,Non-Profit,"Elementary, Middle",395.0,DC,DC,Underrepresented,Female,,Community,"We offer in-person and virtual computer science education in a collaborative and welcoming environment. By combining our award-winning educational programs with our speaker series and partnerships with our generous supporters, our students learn coding and engineering skills to prepare them for a broad set of careers, but they are too busy having fun to notice.",Grades 3-8,395.0,,5 days
Georgetown - Introduction to Data Science Academy,https://portal.scs.georgetown.edu/search/publicCourseSearchDetails.do?method=load&courseId=18184317,Summer Camp,University,High,1895.0,Georgetown,DC,,,,,"The Introduction to Data Science Academy offers an inside look at the professional world of data science through the eyes of experts in the field. Through a combination of coding exercises, presentations from data science experts, and class discussions, you’ll be introduced to contemporary data science resources and best practices. You’ll have the opportunity to explore the processes of data collection and analysis, gain hands-on practice with statistical analysis and coding languages, and learn about the main elements of programming in Python. By the end of the program, you’ll understand key concepts like how to wrangle data, how to visualize data, how to present your conclusions, and how to arrive at those conclusions.",High School,1895.0,,1 week
